EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2014-12-21,41,36,30,30,29,27,93,81,65,30.37,30.32,30.28,10,10,10,7,1,,0.00,5,,9
2014-12-22,33,30,26,34,31,27,100,96,86,30.33,30.24,30.11,10,4,1,9,2,,0.25,7,Snow,12
2014-12-23,42,38,33,43,40,34,100,100,100,30.10,30.05,30.03,5,2,0,7,3,,0.10,8,Fog-Rain,344
2014-12-24,55,48,42,55,47,43,100,100,100,30.03,29.76,29.53,10,4,0,15,1,21,0.87,8,Fog-Rain,188
2014-12-25,55,46,37,55,38,32,100,70,50,30.25,29.94,29.59,10,10,10,24,10,36,0.02,4,Rain,301
2014-12-26,51,40,30,36,33,30,100,80,50,30.36,30.28,30.22,10,10,10,8,4,,0.00,0,,232
2014-12-27,59,44,30,37,33,30,100,71,36,30.31,30.22,30.06,10,10,10,8,2,,0.00,0,,188
2014-12-28,57,49,41,52,42,34,100,80,67,30.13,30.00,29.93,10,10,10,10,2,18,0.01,7,Rain,350
2014-12-29,44,40,37,36,31,28,81,68,57,30.29,30.20,30.13,10,10,10,9,5,,0.00,8,,8
2014-12-30,39,32,23,28,22,16,86,63,42,30.44,30.38,30.28,10,10,10,13,7,17,0.00,2,,340
2014-12-31,35,28,21,21,16,12,86,61,38,30.46,30.36,30.24,10,10,10,17,7,23,0.00,0,,284
2015-1-1,42,30,17,27,19,14,93,65,39,30.24,30.14,30.05,10,10,10,15,5,20,0.00,0,,221
2015-1-2,44,35,26,28,26,23,93,70,49,30.43,30.29,30.11,10,10,10,7,3,,0.00,0,,304
2015-1-3,37,32,26,37,34,25,100,97,80,30.51,30.37,30.09,10,5,0,5,1,,0.60,8,Fog-Rain-Snow,97
2015-1-4,60,48,37,57,46,32,100,91,54,30.08,29.89,29.72,10,7,1,26,8,44,0.69,5,Rain,228
2015-1-5,44,35,26,32,17,7,70,50,35,30.47,30.29,30.01,10,10,10,25,17,36,0.00,2,,311
2015-1-6,30,24,19,23,19,9,100,78,47,30.42,30.24,30.10,10,8,0,9,3,,0.01,5,Snow,248
2015-1-7,26,19,12,19,8,-6,100,63,38,30.49,30.20,30.03,10,10,7,26,9,33,0.00,5,Snow,305
2015-1-8,24,16,8,5,-1,-4,57,48,36,30.58,30.44,30.16,10,10,10,20,10,28,0.00,0,,250
2015-1-9,35,30,24,18,12,5,59,49,41,30.32,30.13,30.00,10,10,10,20,12,30,0.00,3,,269
2015-1-10,28,20,12,9,5,0,85,53,34,30.62,30.53,30.33,10,10,10,20,9,24,0.00,0,,316
2015-1-11,37,22,8,32,16,5,93,70,44,30.66,30.58,30.48,10,10,7,10,2,,0.02,3,Rain,177
2015-1-12,39,36,33,37,35,30,100,98,87,30.48,30.27,30.13,10,6,1,10,2,16,0.61,8,Rain-Snow,28
2015-1-13,37,30,23,36,20,12,93,66,44,30.59,30.50,30.29,10,10,10,17,11,24,0.00,3,,22
2015-1-14,30,26,23,28,22,14,100,84,64,30.50,30.34,30.23,10,9,1,9,5,,0.00,8,Snow,18
2015-1-15,37,30,24,30,28,23,100,86,65,30.23,30.12,30.01,10,10,7,10,3,,0.00,3,,248
2015-1-16,41,32,23,30,27,21,100,77,57,30.27,30.05,29.96,10,10,7,22,8,31,0.00,2,,286
2015-1-17,39,31,23,28,22,18,87,67,49,30.41,30.29,30.16,10,10,10,15,5,20,0.00,1,Thunderstorm,154
